REGION,week,p2.5,p25,p50,p75,p97.5,mean,p.positive
Colorado,2020-02-23,-0.004610871506408446,0.019720958630165514,0.02688939814114565,0.03217622762895533,0.037521847619873844,0.02429789998318151,0.9615
Connecticut,2020-02-23,-0.036844177919466016,0.016461423720576407,0.030249794951012224,0.03868196681013908,0.04653435869366802,0.023776204965770178,0.88
Delaware,2020-02-23,0.00115250317898984,0.0167206791109438,0.02098181068911561,0.023796279528387858,0.026657782428951452,0.019118011684555285,0.9775
District of Columbia,2020-02-23,-0.11144890047321604,-0.030806217889072656,-0.010765088885228959,0.0018082759600843408,0.012983475009494537,-0.02028185200028529,0.2925
Georgia,2020-02-23,-0.03942354615813672,0.0037554864425601783,0.016944133517269235,0.024862552467254113,0.03322939266846127,0.011499852489543824,0.799
Hawaii,2020-02-23,-0.05099121280009881,-4.659314359117348e-4,0.016329178755634846,0.027136784708775695,0.03871985398996628,0.010138105894847973,0.74475
Idaho,2020-02-23,-0.03508451844173467,6.852689473829231e-4,0.007736025519098064,0.01155050012823637,0.014723063008228671,0.003337455851077555,0.7645
Illinois,2020-02-23,-0.014489489687738673,0.006731117244083672,0.014357943843483774,0.019584714157498934,0.026534544073938824,0.012120069438866454,0.87875
Indiana,2020-02-23,-0.0192465838000531,0.010701727455047777,0.019476969100361133,0.025844322862271483,0.033431316450994585,0.016525534557067734,0.8965
Iowa,2020-02-23,-0.00633230492139582,0.010033019692496762,0.014530100392945496,0.017571516720671414,0.020581030069763525,0.012652455846419186,0.938
Kansas,2020-02-23,-0.048882130898871716,0.010844183683842115,0.0256003705035645,0.03437547369905118,0.043142842226589255,0.01850941388368401,0.848
Kentucky,2020-02-23,-0.054435685830686864,0.036132564325887274,0.05255268562948151,0.060111378100616994,0.06515763591765156,0.04137614666954618,0.923
Louisiana,2020-02-23,0.009875524006995415,0.04211589304217727,0.053581553350743515,0.06228218619356314,0.0725947842448036,0.050386716503404594,0.9845
Maine,2020-02-23,0.00192575926233524,0.015685206551376254,0.020333584643356925,0.023424738995612635,0.02681530484146717,0.0186354417076665,0.982
Maryland,2020-02-23,-0.014242985007026632,0.012729054573123705,0.020303217468886487,0.0255183500678857,0.03107739063606808,0.01748301163587543,0.922
Massachusetts,2020-02-23,-0.0033375675649834394,0.008786107535078878,0.012896125406988958,0.016087486286077996,0.020163526378874787,0.011735311263489185,0.94975
Michigan,2020-02-23,-0.026424451197340066,0.002236215530243047,0.008909635052185939,0.012700364379559926,0.016144513709103026,0.005334245213783323,0.802
Minnesota,2020-02-23,-0.020989034719259933,0.004980477228724091,0.013849809859436095,0.020267692369553326,0.02766486194095114,0.011001658411371188,0.8385
Mississippi,2020-02-23,-0.057400130844166994,-0.00672190601917722,0.009941515071176708,0.021960470625858926,0.03573561492538142,0.004617575116757059,0.67
Missouri,2020-02-23,-0.016214907896671533,0.02159230752285493,0.033117343086034125,0.041720675770531276,0.051570018022615974,0.029147535300994853,0.93025
Montana,2020-02-23,5.275941781480135e-4,0.016704201462028688,0.020427380043095626,0.022646813895155292,0.024471797504100008,0.018463855430896448,0.97575
Nebraska,2020-02-23,-0.0484835827971235,0.005544719483331635,0.019513688822199123,0.027793879840342782,0.035163124044230915,0.01301592416658078,0.808
Nevada,2020-02-23,-0.0195776995383553,-0.004968923436367378,-3.008049336165105e-4,0.002969627473585517,0.007062997881481466,-0.0018513866643731529,0.47625
New Hampshire,2020-02-23,0.0018140353476693931,0.01895632555621235,0.023115518335003735,0.02560203721431947,0.02775766569002913,0.021009946130287182,0.97975
New Jersey,2020-02-23,-0.05277037366901872,-0.0022116977328987836,0.012272982769152507,0.02196402520766392,0.03190497675463535,0.006517674669589141,0.72075
New Mexico,2020-02-23,-0.023498513144906356,0.0074807663192019425,0.017701530806553088,0.024819651249738374,0.03401524482095139,0.014346538993727988,0.85525
New York,2020-02-23,-0.01310900615230449,0.002853713093293994,0.00915330297114089,0.01403916256597313,0.020421427343877904,0.007629455856719904,0.82325
North Carolina,2020-02-23,-0.030688350416346877,0.004785626004131638,0.014646187185229038,0.021145855016469973,0.028004027783415007,0.01062573250908907,0.8225
North Dakota,2020-02-23,-0.037987514186668236,0.005122894064299229,0.0157953756924585,0.021944576087309223,0.028327300075640244,0.010501668717802542,0.81425
Ohio,2020-02-23,-0.005670370444505592,0.009192425767595457,0.014067223267568593,0.017614936936519082,0.021777276978056717,0.01250924742586586,0.94175
Oklahoma,2020-02-23,-0.066636856001722,-0.004852270460654487,0.01351889579016223,0.026912244963797845,0.042267056973847895,0.007137615630978639,0.69925
Oregon,2020-02-23,-0.0065400932668402785,0.012923471455401916,0.018362713714752267,0.02217082705125634,0.026414966219712024,0.016270224590826783,0.94975
Pennsylvania,2020-02-23,-0.012626925981243904,0.005066011515418989,0.01103701770026992,0.01541980539542688,0.021572795999966705,0.009396338678528965,0.8725
Rhode Island,2020-02-23,-0.00487197509441654,0.020980444697843915,0.027892536981974025,0.03256489512780172,0.036367991405275475,0.02487438896767958,0.9635
South Carolina,2020-02-23,-0.04049491676695001,0.03352218621560303,0.048830035289751675,0.05660553036627029,0.06292290459523826,0.03981726032407168,0.927
South Dakota,2020-02-23,-0.013538991713995684,0.00513005914560082,0.011363281266374944,0.015938483466083533,0.02196936898978811,0.00955669192216977,0.866
Tennessee,2020-02-23,-0.036028238643191796,0.012498529098657871,0.025438999304459732,0.033738903880901144,0.04082881519635964,0.01948871854045265,0.87025
Texas,2020-02-23,-0.04042337441560093,0.005566882439500263,0.020609307966199815,0.03177998900100891,0.04530134920293076,0.016114124937319396,0.81275
Utah,2020-02-23,-0.03516938925390678,0.006080114637794103,0.018050594132047054,0.025289634418434605,0.0327261094675203,0.0129953517180134,0.8255
Vermont,2020-02-23,-0.04048958911071387,-0.004074881431757208,0.006207840426693775,0.01302757074754032,0.020308515457435592,0.0020011727482691383,0.67
Virginia,2020-02-23,-6.572286423092017e-4,0.023211366878226378,0.03186329477022377,0.03815430417644044,0.046293373504660534,0.029499236981470927,0.974
Washington,2020-02-23,0.007040568348222853,0.019559484993387354,0.02379971971351906,0.02705041481793697,0.031031559024821694,0.022559638922402245,0.9925
West Virginia,2020-02-23,-0.01583070867491809,0.014687433131755767,0.0239820447728984,0.030375598043294427,0.037366017048194346,0.02062292788479255,0.921
Wisconsin,2020-02-23,-0.019237451081233144,0.004991137453538966,0.012438259786340524,0.01761449080265309,0.023114823909766036,0.00972130293994786,0.8395
Wyoming,2020-02-23,-0.011634998580854367,0.007954913586366803,0.013302071507924873,0.01714372828191432,0.021266473973287115,0.011239495727908012,0.908
Alabama,2020-03-01,-0.05878222336732047,9.983336366355296e-4,0.01909931213524085,0.032228885132491225,0.04511351217599676,0.012504974888534059,0.76175
Alaska,2020-03-01,-0.01893805468583302,0.009803516494113138,0.016954683235549165,0.02100930754543847,0.02466376406771585,0.013397073106074223,0.896
Arizona,2020-03-01,-0.03828013838959245,-0.00918363252432632,-9.352071703337579e-4,0.00485237319720668,0.011156804414951144,-0.004017155586599352,0.461
Arkansas,2020-03-01,-0.05413247737382122,-0.012345167937244042,3.687474223593966e-4,0.008559197690899955,0.018261884989687407,-0.004377365812134015,0.5105
California,2020-03-01,-0.025818742185744748,-0.0020317911480985055,0.006370587881833633,0.012655922899044042,0.0211914709107878,0.004135176741235448,0.69675
Colorado,2020-03-01,0.004050623894388491,0.02670060069473693,0.03323523569441923,0.03773647302033455,0.04295922556222247,0.030872003141390325,0.983
Connecticut,2020-03-01,-0.028352835491947895,0.021317062902951267,0.03345963716770933,0.04088478563732114,0.04737824227923944,0.027458616088579392,0.915
