REGION,date,p2.5,p25,p50,p75,p97.5,p.positive,week,State,CDC_week,NewCasesWeek
Washington,2020-02-23,0.002035468603831041,7.251840543958734e-4,5.956950460164146e-4,5.24930619314933e-4,4.581481765619814e-4,0.992,32,Washington,9,9
Washington,2020-03-01,0.005594484758911119,0.0038623076797832706,0.003509274515021883,0.003280243025347533,0.003035690109122213,0.99975,33,Washington,10,100
Washington,2020-03-08,0.022138635274054713,0.016736060636580747,0.01546455503108371,0.014648484991434134,0.01371713677996234,1,34,Washington,11,499
Washington,2020-03-15,0.046003903490373046,0.0356069665362249,0.03298495089632139,0.0312650124149128,0.029390372484631107,1,35,Washington,12,1046
Washington,2020-03-22,0.23686965642833047,0.1524580230322918,0.1355587009324061,0.1253699866242214,0.11518381309253475,0.9995,36,Washington,13,2656
West Virginia,2020-03-15,0.11798834884194723,0.0030956154462448596,0.0023604592290851776,0.0020374021346440674,0.0017664263230240096,0.9765,35,West Virginia,12,11
West Virginia,2020-03-22,-0.024029578849997946,-0.11573171312697825,0.6973475138541874,0.1234185784788917,0.06327512725246968,0.548,36,West Virginia,13,101
Wisconsin,2020-03-08,-0.01116508348269282,0.0030048361672481154,0.002171013141408512,0.001827770287472306,0.0015572953661732623,0.9615,34,Wisconsin,11,26
Wisconsin,2020-03-15,0.047407849280624116,0.015600912798218958,0.013078392349022937,0.011841714795387044,0.01069719896177783,0.9905,35,Wisconsin,12,254
Wisconsin,2020-03-22,0.422875043344948,0.06623939227187813,0.05289143934220929,0.04605372648700017,0.040447647787491874,0.98175,36,Wisconsin,13,761
Wyoming,2020-03-08,-0.007837971156015545,0.007640493469778872,0.004755723487850366,0.0038196739538294234,0.0031240434921688577,0.92325,34,Wyoming,11,2
Wyoming,2020-03-15,0.05641342578580743,0.025754296115574945,0.021971661764619704,0.019955462170240856,0.01820020208048549,0.99475,35,Wyoming,12,21
Wyoming,2020-03-22,-0.16988889823157416,0.556102080755358,0.2501254318595379,0.18597453376904946,0.1442895195377229,0.869,36,Wyoming,13,60
